tweet,index
"Sem doses com validade próxima, Rio Grande do Sul não mudará estratégia de vacinação contra a denguehttps://t.co/mTCbKoIrvt",1457
RT @governodoamapa: ☀️ Bom dia com MinutoGov!💉 A imunização está com tudo! O Gov ampliou a faixa etária da vacinação contra à Dengue em t…,1458
"Com o programa, após o início da campanha de vacinação contra a gripe, as equipes de saúde locais irão às escolas públicas para vacinar as crianças matriculadas, oferecendo as vacinas previstas para cada idade. Ação fundamental para ampliar a cobertura vacinal da população.",1460
"No ES, o governador Renato Casagrande afirmou que não deixará os capixabas desprotegidos e, na falta de um plano nacional de vacinação concreto, o Espírito Santo tomará todas as medidas necessárias para adquirir as vacinas e imunizar a população.",1461
"A campanha de vacinação contra o Sarampo e a Poliomielite começou na semana passada.A campanha vai até o dia 31 de agosto e visa imunizar crianças de 1 a 4 anos, 11 meses e 29 dias. Além da vacinação em dias... https://t.co/KyPY1LpNXp",1468
Municípios baianos ampliam faixa etária de vacinação contra a dengue.Saiba mais no #TVENotícias com apresentação de Jhonatã Gabrielhttps://t.co/HDzwaRmOn3,1469
Prefeitura do Rio amplia campanha de vacinação contra variante XBB da Covid-19; saiba mais https://t.co/W77qLk5m8N,1470
"Dia 13, vamos às ruas exigir vacinação já, emprego e renda para a população, não ao desmonte dos serviços públicos e pelo FORA BOLSONARO E MOURÃO!Convidamos todas e todos a se somarem  a essa luta. É fundamental aumentarmos a pressão para botar esse Governo genocida PARA FORA! https://t.co/k77xN8pOMf",1475
"Com casos de dengue em alta, governo de São Paulo decretou situação de emergência para a doença em todo o EstadoSe por um lado os casos da doença aumentam, por outro, a vacinação contra a dengue ainda esbarra na falta de doses disponíveis: https://t.co/C8A2ystRew https://t.co/WScTlRwvYU",1484
A vacinação e o cuidado são as melhores formas de prevenir a dengue. Não deixe de se vacinar e contribua para tornar Goiânia um lugar mais seguro para todos!,1501
"Boa Vista possui o selo @unicefbrasil, e temos trabalhado para avançar nas metas com mobilizadores e articuladores. Eles atuam na vacinação em abrigos, busca ativa escolar, apoio técnico com treinamento para agentes comunitários de saúde e demais atividades.",1506
"Vacinação contra influenza não avança no estado e casos de gripe seguem aumentando, diz Saúde ==&gt; https://t.co/LlDrRHBE2C #NoArNaCBN #CBNGoiania #saúde #influenza #gripe https://t.co/F6InayVcXu",1511
"Diretoria de Saúde realiza campanha de vacinação nesta terça,18, na Aleam https://t.co/cGat1XRWlw via @Fato Amazônico",1518
Assembleia Legislativa do Amazonas realiza campanha de vacinação entre seus servidores https://t.co/q1NJJYPrwe via @Fato Amazônico,1519
"Feriado da Proclamação: Unidades Básicas de Saúde de Belém fecham, e vacinação retorna na segunda, 18. #g1Pará https://t.co/NEsOhoWJSK https://t.co/NEsOhoWJSK",1521
Atingimos a nefasta marca 500 mil mortos por Covid-19 no Brasil. Minha solidariedade a todos que perderam alguém querido por causa do vírus. Que nosso caminho seja direcionado ao trabalho pela vacinação e união para para evitar mais mortes,1524
"Nosso mandato criou o #ParáPatas, programa de saúde animal pelos bairros de Belém e municípios do Pará. Amanhã estaremos no bairro do Guamá levando vacinação antirrábica e atendimento veterinário gratuito 🙏🏻🐾De 08 às 12h! #MandatoEmMovimento https://t.co/qwaRzoMLuG",1525
"Acabo de saber que São Miguel do Guamá já vacinou todos os grupos prioritários. Agora o município iniciará a vacinação em massa da população por faixa etária. Gostaria de parabenizar o prefeito @EduardoPioX , os profissionais de saúde e a população por mais essa etapa cumprida!",1527
"A geração de emprego precisa ser prioridade, assim como a saúde. Com o avanço da vacinação e a flexibilização pela mudança de bandeira de Belém e outras 70 cidades do Pará, o reaquecimento da economia já é debatido. É importante inserir os jovens no mercado de trabalho.",1528
"Bom dia, pessoal! Bom final de semana! 🙏🏼Hoje é o 'Dia D' de vacinação contra a gripe na orla de Macapá. A ação começa a partir das 15h deste sábado e vai até as 18h.",1533
"Haverá um drive-thru no estacionamento do Parque do Forte e um posto fixo nas proximidades da Fortaleza de São José, às margens do nosso majestoso rio Amazonas. Que tal aproveitar e colocar a vacinação em dia? 💉✅",1534
Goiânia se une à campanha e destaca importância da vacinação contra o HPV. Câncer de colo do útero é o terceiro tipo mais frequente na população femininahttps://t.co/UdVmTBnp1U https://t.co/VKBHAISwx5,1546
Vacinação contra Covid-19 em Salvador prossegue nesta sexta (8) https://t.co/bQ7s0RJBCR,1548
&lt;strong&gt;Salvador prossegue com vacinação contra Covid-19 nesta quarta (6)&lt;/strong&gt; https://t.co/lBrvoWRifO https://t.co/2DoWmtrbP5,1549
"#DadoDaSemana 💉 Iniciando a nossa nova série de conteúdos semanais com dados importantes dos últimos dias, hoje trazemos a taxa de vacinação da Covid-19 na população adulta de Alagoas.Segue o fio! 🧶 https://t.co/2s9opVnFMh",1552
Diadema promove vacinação contra dengue neste sábado (22); veja locaisLeia: https://t.co/v7jmC0yjFf https://t.co/6czf7zQjoW,1565
"Vacina contra influenza agora no Calendário Nacional para crianças, gestantes e idosos. #Saúde #Vacinação #MeiaHorahttps://t.co/pT31xbeM8S",1569
Saúde prorroga campanha de vacinação contra gripe Saiba mais em: https://t.co/8OX9nPat5D https://t.co/8OX9nPat5D,1571
